X,Y,Z,Prefab,Rotation,Projector,Filler
0.90864,0,-0.8078,C10,291,P1,NaN
0.15778,0,-0.96824,C10,153,P1,NaN
0.8392,0,-1.6909,C10,270,P1,NaN
0.9941,0,-1.1684,C10,232,P1,NaN
0.93276,0,-1.3457,C10,335,P1,NaN
0.65799,0,-1.2081,C10,300,P1,NaN
0.70031,0,-0.99611,O,193,P1,NaN
0.97304,0,-1.5988,O,84,P1,NaN
0.69272,0,-0.60104,O,93,P1,NaN
0.10096,0,-1.2362,O,12,P1,NaN
0.24438,0,-0.60162,O,292,P1,NaN
0.44806,0,-1.1168,O,246,P1,NaN
0.38872,0,0.33377,C10,105,P1,NaN
0.88784,0,-0.29767,C10,182,P1,NaN
0.84561,0,0.20044,C10,306,P1,NaN
0.689,0,-0.045094,C10,174,P1,NaN
1.0223,0,0.099167,C10,130,P1,NaN
0.691,0,0.34555,C10,195,P1,NaN
0.090184,0,-0.40514,O,147,P1,NaN
0.072819,0,0.32719,O,27,P1,NaN
0.13565,0,0.61457,O,260,P1,NaN
0.18789,0,-0.20104,O,142,P1,NaN
0.39988,0,0.55805,O,226,P1,NaN
0.99112,0,-0.1733,O,175,P1,NaN
0.29177,0,1.8704,C10,127,P1,NaN
0.54441,0,1.3731,C10,181,P1,NaN
0.89419,0,1.3879,C10,136,P1,NaN
0.47724,0,1.5668,C10,219,P1,NaN
0.90607,0,0.85278,C10,51,P1,NaN
0.16942,0,1.1644,C10,216,P1,NaN
0.27048,0,1.6546,O,283,P1,NaN
0.51731,0,0.87502,O,264,P1,NaN
0.55735,0,1.8257,O,131,P1,NaN
0.31021,0,1.2864,O,319,P1,NaN
0.32566,0,1.0044,O,230,P1,NaN
0.13447,0,1.8646,O,158,P1,NaN
-0.10719,0,1.9019,C10,80,P1,NaN
-0.1164,0,0.81244,C10,300,P1,NaN
-0.27148,0,1.3971,C10,275,P1,NaN
-0.84151,0,1.8664,C10,1,P1,NaN
-0.21648,0,1.2235,C10,339,P1,NaN
-0.71878,0,1.5061,C10,53,P1,NaN
-0.88408,0,1.6073,O,309,P1,NaN
-0.22795,0,1.8089,O,321,P1,NaN
-0.47564,0,1.0889,O,329,P1,NaN
-0.65932,0,1.1646,O,326,P1,NaN
-1.0177,0,1.362,O,86,P1,NaN
-0.44272,0,0.91214,O,337,P1,NaN
-0.34472,0,-0.26205,C10,342,P1,NaN
-0.33915,0,0.599,C10,352,P1,NaN
-0.91849,0,-0.21585,C10,356,P1,NaN
-0.5329,0,-0.15432,C10,296,P1,NaN
-0.87057,0,0.6025,C10,86,P1,NaN
-0.8888,0,0.21907,C10,135,P1,NaN
-0.71985,0,0.49092,O,328,P1,NaN
-0.62128,0,0.20872,O,12,P1,NaN
-0.17736,0,0.047683,O,75,P1,NaN
-0.61785,0,-0.44861,O,112,P1,NaN
-0.28946,0,-0.11106,O,285,P1,NaN
-1.026,0,0.56459,O,119,P1,NaN
-0.26087,0,-1.194,C10,249,P1,NaN
-0.30197,0,-0.90492,C10,165,P1,NaN
-0.91557,0,-1.2559,C10,343,P1,NaN
-0.49021,0,-0.97842,C10,286,P1,NaN
-0.58251,0,-1.2393,C10,80,P1,NaN
-0.11273,0,-0.74825,C10,306,P1,NaN
-0.52201,0,-1.628,O,307,P1,NaN
-0.24752,0,-1.6388,O,301,P1,NaN
-0.77141,0,-1.7103,O,210,P1,NaN
-0.72857,0,-1.5031,O,191,P1,NaN
-0.41907,0,-0.60474,O,26,P1,NaN
-0.92668,0,-0.94,O,309,P1,NaN
0.7545,0,-1.5444,C10,354,P2,NaN
0.75043,0,-0.99608,C10,24,P2,NaN
0.93375,0,-1.0753,C10,62,P2,NaN
0.25291,0,-1.4947,C10,259,P2,NaN
0.84204,0,-1.3292,C10,203,P2,NaN
0.7085,0,-1.7105,C10,264,P2,NaN
0.41601,0,-1.1468,O,15,P2,NaN
0.41016,0,-1.4007,O,328,P2,NaN
0.36699,0,-1.7638,O,168,P2,NaN
0.097308,0,-1.7885,O,34,P2,NaN
0.41357,0,-1.5887,O,354,P2,NaN
0.70755,0,-0.85011,O,200,P2,NaN
0.40111,0,0.22732,C10,177,P2,NaN
0.25376,0,0.30988,C10,50,P2,NaN
0.11246,0,-0.4854,C10,173,P2,NaN
0.81393,0,-0.14758,C10,320,P2,NaN
0.62858,0,-0.28942,C10,269,P2,NaN
0.59742,0,0.49504,C10,284,P2,NaN
