X,Y,Z,Prefab,Rotation,Projector,Filler
0.99039,0,-0.91252,C80,220,P1,NaN
0.16596,0,-1.4236,C80,350,P1,NaN
0.42775,0,-1.524,C80,298,P1,NaN
0.32563,0,-0.74748,C80,280,P1,NaN
0.1733,0,-1.0768,C80,135,P1,NaN
0.61853,0,-0.98622,C80,4,P1,NaN
0.13664,0,-0.67517,O,235,P1,NaN
0.40429,0,-0.89332,O,107,P1,NaN
0.79067,0,-0.76649,O,87,P1,NaN
0.11549,0,-1.2506,O,341,P1,NaN
0.88082,0,-1.4869,O,318,P1,NaN
0.93848,0,-0.72504,O,251,P1,NaN
0.38929,0,-0.045526,C80,5,P1,NaN
0.14761,0,0.29425,C80,175,P1,NaN
0.87555,0,0.010027,C80,140,P1,NaN
0.27193,0,-0.37028,C80,122,P1,NaN
0.86236,0,0.50968,C80,16,P1,NaN
0.11197,0,-0.031069,C80,336,P1,NaN
1.0078,0,0.092202,O,178,P1,NaN
0.9289,0,-0.28816,O,97,P1,NaN
0.79951,0,0.13983,O,250,P1,NaN
0.65775,0,-0.029408,O,150,P1,NaN
0.48743,0,-0.40338,O,327,P1,NaN
0.55069,0,-0.16991,O,90,P1,NaN
0.31764,0,1.9112,C80,118,P1,NaN
0.45805,0,1.6916,C80,109,P1,NaN
0.28152,0,0.79827,C80,317,P1,NaN
0.91608,0,1.5926,C80,143,P1,NaN
0.085748,0,1.8771,C80,52,P1,NaN
0.18711,0,1.7013,C80,63,P1,NaN
0.78253,0,1.21,O,31,P1,NaN
0.5457,0,0.93552,O,29,P1,NaN
0.76629,0,1.0393,O,60,P1,NaN
0.59312,0,1.342,O,329,P1,NaN
0.87691,0,0.85656,O,83,P1,NaN
0.36205,0,1.1885,O,274,P1,NaN
-0.68141,0,1.8977,C80,179,P1,NaN
-0.61373,0,1.4683,C80,324,P1,NaN
-0.26959,0,1.4631,C80,133,P1,NaN
-0.95761,0,1.6045,C80,316,P1,NaN
-0.08384,0,0.82201,C80,30,P1,NaN
-0.16677,0,1.0513,C80,299,P1,NaN
-0.48502,0,1.3234,O,148,P1,NaN
-0.53745,0,1.7404,O,335,P1,NaN
-0.76752,0,1.2813,O,105,P1,NaN
-0.52239,0,1.057,O,114,P1,NaN
-0.93733,0,1.2172,O,351,P1,NaN
-0.15198,0,1.2978,O,67,P1,NaN
-0.47501,0,-0.067276,C80,51,P1,NaN
-0.91042,0,-0.32182,C80,70,P1,NaN
-0.27913,0,0.080776,C80,45,P1,NaN
-0.090722,0,-0.1246,C80,183,P1,NaN
-0.8765,0,0.63217,C80,56,P1,NaN
-0.74241,0,-0.35068,C80,60,P1,NaN
-0.15582,0,0.34117,O,117,P1,NaN
-0.58029,0,0.62658,O,128,P1,NaN
-0.97112,0,-0.15859,O,330,P1,NaN
-0.48789,0,0.15195,O,301,P1,NaN
-0.73487,0,0.066551,O,28,P1,NaN
-0.58584,0,-0.29251,O,303,P1,NaN
-0.37571,0,-0.7677,C80,107,P1,NaN
-0.34288,0,-1.032,C80,28,P1,NaN
-0.60545,0,-1.0616,C80,105,P1,NaN
-0.3707,0,-1.5071,C80,222,P1,NaN
-1.016,0,-0.82717,C80,45,P1,NaN
-0.080358,0,-1.1873,C80,311,P1,NaN
-0.41096,0,-1.2152,O,162,P1,NaN
-0.66799,0,-1.712,O,272,P1,NaN
-0.78219,0,-0.82595,O,234,P1,NaN
-0.86952,0,-1.1219,O,77,P1,NaN
-1.0184,0,-1.4322,O,112,P1,NaN
-0.57626,0,-1.5594,O,162,P1,NaN
0.47344,0,-1.7733,C80,264,P2,NaN
1.024,0,-1.6679,C80,316,P2,NaN
0.48676,0,-1.5777,C80,41,P2,NaN
0.46855,0,-0.93762,C80,287,P2,NaN
0.43643,0,-1.3531,C80,23,P2,NaN
0.31429,0,-0.99111,C80,140,P2,NaN
0.50535,0,-1.084,O,117,P2,NaN
0.61585,0,-0.90381,O,263,P2,NaN
0.13676,0,-1.5994,O,37,P2,NaN
0.18874,0,-0.83937,O,353,P2,NaN
0.10832,0,-1.2503,O,301,P2,NaN
0.6977,0,-1.2079,O,284,P2,NaN
0.54996,0,-0.37452,C80,170,P2,NaN
0.71345,0,-0.57316,C80,6,P2,NaN
1.0049,0,0.07305,C80,75,P2,NaN
0.12429,0,-0.4549,C80,107,P2,NaN
0.094064,0,0.14401,C80,241,P2,NaN
0.57737,0,0.044731,C80,278,P2,NaN
0.22283,0,0.44366,O,149,P2,NaN
0.70015,0,-0.096771,O,76,P2,NaN
0.65707,0,0.45407,O,21,P2,NaN
0.48596,0,-0.12304,O,120,P2,NaN
0.39328,0,0.18445,O,312,P2,NaN
0.11541,0,-0.21341,O,221,P2,NaN
0.3286,0,1.0937,C80,263,P2,NaN
0.30044,0,1.3931,C80,96,P2,NaN
0.19006,0,0.72976,C80,47,P2,NaN
0.75179,0,1.2972,C80,349,P2,NaN
0.81702,0,1.5658,C80,141,P2,NaN
0.85157,0,1.7257,C80,84,P2,NaN
0.22066,0,1.7791,O,357,P2,NaN
1.0085,0,1.2194,O,145,P2,NaN
1.0162,0,1.7177,O,360,P2,NaN
0.67104,0,1.0057,O,315,P2,NaN
0.64544,0,1.603,O,233,P2,NaN
0.37803,0,1.8449,O,209,P2,NaN
-0.28314,0,1.3989,C80,45,P2,NaN
-0.76341,0,1.6694,C80,334,P2,NaN
-0.50407,0,1.5401,C80,113,P2,NaN
-0.82627,0,0.9417,C80,337,P2,NaN
-0.62665,0,0.94057,C80,159,P2,NaN
-0.72818,0,1.1977,C80,246,P2,NaN
-0.29025,0,1.2095,O,264,P2,NaN
-1.0064,0,0.88064,O,310,P2,NaN
-0.50635,0,1.7563,O,81,P2,NaN
-0.48528,0,1.0789,O,333,P2,NaN
-0.587,0,0.7309,O,352,P2,NaN
-0.4647,0,1.3486,O,72,P2,NaN
-0.76327,0,-0.016253,C80,66,P2,NaN
-0.20209,0,-0.10931,C80,312,P2,NaN
-0.61721,0,0.34144,C80,280,P2,NaN
-0.37332,0,-0.47909,C80,208,P2,NaN
-0.71843,0,-0.16311,C80,307,P2,NaN
-0.31774,0,0.38198,C80,274,P2,NaN
-0.52708,0,-0.27192,O,36,P2,NaN
-0.75803,0,0.2252,O,30,P2,NaN
-0.92741,0,0.21571,O,156,P2,NaN
-0.40656,0,-0.076006,O,291,P2,NaN
-0.23909,0,-0.27808,O,81,P2,NaN
-0.070648,0,0.019813,O,232,P2,NaN
-0.8846,0,-1.6843,C80,111,P2,NaN
-0.48335,0,-1.8538,C80,201,P2,NaN
-0.98361,0,-0.95511,C80,319,P2,NaN
-0.69267,0,-1.5644,C80,139,P2,NaN
-0.16929,0,-1.0983,C80,280,P2,NaN
-0.11059,0,-1.4657,C80,335,P2,NaN
-0.55985,0,-0.72177,O,127,P2,NaN
-0.36232,0,-1.2717,O,198,P2,NaN
-0.45098,0,-1.1065,O,204,P2,NaN
-0.66035,0,-1.0641,O,91,P2,NaN
-0.71348,0,-1.8595,O,178,P2,NaN
-0.46971,0,-0.95513,O,182,P2,NaN
0.27023,0,-1.0043,C80,219,P3,NaN
0.35928,0,-1.9127,C80,116,P3,NaN
0.10497,0,-1.0846,C80,161,P3,NaN
0.33332,0,-1.685,C80,198,P3,NaN
0.76191,0,-1.7449,C80,196,P3,NaN
0.96098,0,-1.3377,C80,91,P3,NaN
0.57371,0,-1.1365,O,305,P3,NaN
0.95554,0,-0.95353,O,176,P3,NaN
0.97853,0,-1.9214,O,290,P3,NaN
0.57448,0,-1.903,O,137,P3,NaN
0.69867,0,-0.98636,O,66,P3,NaN
0.4338,0,-0.8766,O,188,P3,NaN
0.84726,0,-0.33149,C80,64,P3,NaN
0.83091,0,0.36553,C80,27,P3,NaN
0.56436,0,0.076598,C80,352,P3,NaN
0.12004,0,0.17629,C80,88,P3,NaN
0.32477,0,-0.5791,C80,90,P3,NaN
0.63035,0,0.3072,C80,299,P3,NaN
0.42683,0,0.34781,O,307,P3,NaN
0.46049,0,-0.27454,O,13,P3,NaN
0.98109,0,-0.13226,O,162,P3,NaN
0.25606,0,0.40941,O,34,P3,NaN
0.087903,0,-0.46442,O,358,P3,NaN
0.070036,0,0.36504,O,220,P3,NaN
0.47087,0,1.1046,C80,171,P3,NaN
0.296,0,0.81124,C80,67,P3,NaN
0.6331,0,1.2717,C80,45,P3,NaN
0.6093,0,1.0181,C80,195,P3,NaN
0.088642,0,0.6678,C80,322,P3,NaN
0.29319,0,1.2828,C80,179,P3,NaN
0.63248,0,1.4698,O,132,P3,NaN
1.0167,0,0.86282,O,139,P3,NaN
0.19233,0,1.5308,O,356,P3,NaN
0.079658,0,0.9973,O,22,P3,NaN
0.88675,0,1.279,O,167,P3,NaN
0.98622,0,1.0122,O,82,P3,NaN
-0.86237,0,1.0219,C80,240,P3,NaN
-0.45738,0,0.78828,C80,305,P3,NaN
-0.64744,0,1.7076,C80,204,P3,NaN
-0.75616,0,1.396,C80,274,P3,NaN
-0.72638,0,1.2119,C80,247,P3,NaN
-0.53133,0,1.047,C80,207,P3,NaN
-0.91573,0,1.2725,O,106,P3,NaN
-0.44464,0,1.7058,O,74,P3,NaN
-0.25507,0,1.419,O,105,P3,NaN
-0.72524,0,0.82167,O,153,P3,NaN
-0.87398,0,1.571,O,51,P3,NaN
-0.10093,0,1.0994,O,181,P3,NaN
-0.4647,0,-0.65264,C80,196,P3,NaN
-0.11982,0,-0.22509,C80,117,P3,NaN
-0.60683,0,-0.40401,C80,333,P3,NaN
-0.29191,0,0.37244,C80,87,P3,NaN
-0.82373,0,-0.33467,C80,110,P3,NaN
-0.38522,0,-0.1274,C80,281,P3,NaN
-0.486,0,0.34345,O,44,P3,NaN
-0.79227,0,-0.13163,O,203,P3,NaN
-0.82875,0,-0.62928,O,320,P3,NaN
-0.902,0,0.1838,O,310,P3,NaN
-0.28756,0,-0.50967,O,68,P3,NaN
-0.65866,0,-0.60366,O,249,P3,NaN
-0.10887,0,-1.6552,C80,52,P3,NaN
-0.28165,0,-1.4737,C80,210,P3,NaN
-0.10717,0,-1.4238,C80,182,P3,NaN
-0.76566,0,-1.4045,C80,40,P3,NaN
-0.39327,0,-1.6479,C80,171,P3,NaN
-0.66576,0,-1.5842,C80,233,P3,NaN
-0.75421,0,-1.8685,O,112,P3,NaN
-0.43567,0,-0.85604,O,114,P3,NaN
-0.094949,0,-1.1058,O,53,P3,NaN
-0.44487,0,-1.3474,O,292,P3,NaN
-0.8718,0,-1.1906,O,135,P3,NaN
-0.80852,0,-0.86836,O,216,P3,NaN
