X,Y,Z,Prefab,Rotation,Projector,Filler
0.88093,0,-0.8643,C80,336,P1,NaN
0.79076,0,-1.1824,C80,252,P1,NaN
0.32502,0,-1.3818,C80,151,P1,NaN
0.9362,0,-1.2369,C80,116,P1,NaN
0.62042,0,-0.78351,C80,89,P1,NaN
0.41232,0,-1.0786,C80,77,P1,NaN
0.38707,0,-0.7337,C80,186,P1,NaN
0.6619,0,-1.2797,C80,235,P1,NaN
1.0155,0,-1.5218,C80,24,P1,NaN
0.80746,0,-1.5902,O,91,P1,NaN
0.52591,0,-1.3482,O,295,P1,NaN
0.25593,0,-0.99573,O,356,P1,NaN
0.23347,0,-0.19053,C80,51,P1,NaN
0.86334,0,0.4582,C80,243,P1,NaN
0.45815,0,0.18164,C80,138,P1,NaN
0.87126,0,-0.37791,C80,78,P1,NaN
0.53071,0,-0.26418,C80,226,P1,NaN
0.14309,0,0.28263,C80,120,P1,NaN
0.63951,0,-0.05114,C80,243,P1,NaN
0.31985,0,0.64377,C80,13,P1,NaN
0.84053,0,-0.11138,C80,329,P1,NaN
0.53815,0,0.54376,O,269,P1,NaN
0.74124,0,-0.27157,O,130,P1,NaN
0.90214,0,0.24857,O,325,P1,NaN
0.23613,0,1.8583,C80,137,P1,NaN
0.12732,0,1.2014,C80,21,P1,NaN
0.10694,0,1.6627,C80,97,P1,NaN
0.49139,0,1.0449,C80,347,P1,NaN
0.34022,0,0.96538,C80,152,P1,NaN
0.6691,0,1.3571,C80,53,P1,NaN
0.17148,0,0.85917,C80,212,P1,NaN
0.77004,0,1.6214,C80,28,P1,NaN
0.77522,0,0.83991,C80,90,P1,NaN
0.23197,0,1.3463,O,9,P1,NaN
0.61627,0,1.8764,O,5,P1,NaN
0.42739,0,1.6117,O,264,P1,NaN
-0.94916,0,1.6271,C80,209,P1,NaN
-0.63389,0,1.1592,C80,192,P1,NaN
-0.99134,0,1.0483,C80,141,P1,NaN
-0.61045,0,1.8389,C80,53,P1,NaN
-0.31872,0,1.486,C80,175,P1,NaN
-0.53736,0,1.4503,C80,269,P1,NaN
-0.16641,0,0.98995,C80,297,P1,NaN
-0.31024,0,1.671,C80,173,P1,NaN
-0.69459,0,1.3132,C80,8,P1,NaN
-1.0139,0,0.82493,O,85,P1,NaN
-0.79092,0,0.85958,O,336,P1,NaN
-0.073614,0,1.4548,O,101,P1,NaN
-0.7977,0,-0.3474,C80,253,P1,NaN
-0.33321,0,0.4528,C80,152,P1,NaN
-0.29767,0,-0.40122,C80,102,P1,NaN
-0.54646,0,-0.14063,C80,99,P1,NaN
-0.24382,0,-0.23697,C80,337,P1,NaN
-0.24108,0,0.65698,C80,111,P1,NaN
-0.17032,0,0.19361,C80,36,P1,NaN
-0.65246,0,-0.27464,C80,38,P1,NaN
-0.38533,0,0.14518,C80,117,P1,NaN
-0.75936,0,0.40254,O,165,P1,NaN
-0.090692,0,0.65506,O,194,P1,NaN
-1.0253,0,0.44259,O,161,P1,NaN
-1.0261,0,-0.88579,C80,322,P1,NaN
-0.65209,0,-0.75512,C80,347,P1,NaN
-0.78984,0,-1.6987,C80,100,P1,NaN
-0.89773,0,-1.0317,C80,270,P1,NaN
-0.27238,0,-1.2218,C80,76,P1,NaN
-0.83209,0,-0.74357,C80,183,P1,NaN
-0.9223,0,-1.5642,C80,175,P1,NaN
-0.68291,0,-1.0344,C80,195,P1,NaN
-0.95715,0,-1.3347,C80,56,P1,NaN
-0.47267,0,-0.8513,O,325,P1,NaN
-0.22483,0,-1.0038,O,92,P1,NaN
-0.50791,0,-1.1058,O,339,P1,NaN
0.34636,0,-1.5565,C80,65,P2,NaN
0.1838,0,-1.0112,C80,5,P2,NaN
0.52042,0,-0.74454,C80,58,P2,NaN
0.15277,0,-1.4717,C80,14,P2,NaN
0.55334,0,-1.8686,C80,67,P2,NaN
0.97923,0,-1.3564,C80,117,P2,NaN
0.10681,0,-1.8046,C80,190,P2,NaN
0.57206,0,-1.5568,C80,60,P2,NaN
0.24383,0,-1.7181,C80,345,P2,NaN
1.0021,0,-1.0763,O,188,P2,NaN
0.32256,0,-0.83299,O,278,P2,NaN
0.62859,0,-1.1827,O,38,P2,NaN
0.49471,0,0.42587,C80,23,P2,NaN
0.26632,0,0.47646,C80,46,P2,NaN
0.11844,0,-0.0027785,C80,359,P2,NaN
0.82293,0,0.26286,C80,276,P2,NaN
0.7774,0,-0.37881,C80,4,P2,NaN
0.37616,0,-0.22989,C80,318,P2,NaN
0.95816,0,0.55247,C80,242,P2,NaN
1.0173,0,-0.24179,C80,295,P2,NaN
0.53252,0,-0.14549,C80,170,P2,NaN
0.66277,0,-0.56886,O,313,P2,NaN
0.98677,0,0.21931,O,124,P2,NaN
0.99556,0,0.37021,O,202,P2,NaN
0.35022,0,1.3164,C80,246,P2,NaN
0.96024,0,1.5548,C80,282,P2,NaN
0.67545,0,1.3002,C80,182,P2,NaN
0.20384,0,1.5148,C80,302,P2,NaN
0.65618,0,1.5587,C80,290,P2,NaN
0.88311,0,0.76259,C80,319,P2,NaN
0.16854,0,0.75178,C80,69,P2,NaN
0.7249,0,0.81696,C80,27,P2,NaN
0.6189,0,0.96773,C80,194,P2,NaN
0.3494,0,1.8655,O,252,P2,NaN
0.24571,0,1.7106,O,6,P2,NaN
0.89738,0,1.7079,O,164,P2,NaN
-0.55576,0,1.4162,C80,89,P2,NaN
-0.94979,0,1.4026,C80,310,P2,NaN
-0.17048,0,1.1091,C80,110,P2,NaN
-0.77769,0,0.77406,C80,21,P2,NaN
-0.72146,0,1.5307,C80,17,P2,NaN
-0.27462,0,1.4091,C80,59,P2,NaN
-0.72937,0,1.701,C80,341,P2,NaN
-0.46186,0,1.7961,C80,180,P2,NaN
-0.49683,0,1.0156,C80,300,P2,NaN
-0.38954,0,1.1972,O,165,P2,NaN
-0.83293,0,0.99591,O,280,P2,NaN
-1.0247,0,0.83862,O,75,P2,NaN
-0.77727,0,-0.46979,C80,50,P2,NaN
-0.16304,0,-0.1503,C80,133,P2,NaN
-0.07012,0,-0.54794,C80,224,P2,NaN
-0.76604,0,0.28133,C80,268,P2,NaN
-0.30222,0,0.4917,C80,17,P2,NaN
-0.88727,0,-0.16286,C80,337,P2,NaN
-1.0285,0,-0.50844,C80,262,P2,NaN
-0.91467,0,0.1094,C80,350,P2,NaN
-0.469,0,-0.55378,C80,187,P2,NaN
-0.6828,0,-0.23801,O,34,P2,NaN
-0.92052,0,0.33305,O,143,P2,NaN
-0.20009,0,0.3722,O,8,P2,NaN
-0.33625,0,-0.8238,C80,124,P2,NaN
-0.65312,0,-1.2383,C80,239,P2,NaN
-0.093727,0,-0.77384,C80,344,P2,NaN
-0.82546,0,-1.4587,C80,60,P2,NaN
-0.16158,0,-1.1818,C80,120,P2,NaN
-0.95153,0,-0.88622,C80,10,P2,NaN
-0.94175,0,-1.6298,C80,298,P2,NaN
-0.99667,0,-1.3096,C80,115,P2,NaN
-0.58143,0,-1.3732,C80,189,P2,NaN
-0.44903,0,-1.5916,O,172,P2,NaN
-0.79395,0,-0.95132,O,281,P2,NaN
-0.21197,0,-1.7778,O,164,P2,NaN
0.13577,0,-0.88627,C80,228,P3,NaN
0.30301,0,-1.7726,C80,296,P3,NaN
0.51689,0,-0.89359,C80,155,P3,NaN
0.10646,0,-1.3613,C80,270,P3,NaN
0.52118,0,-1.6599,C80,201,P3,NaN
0.52224,0,-1.2291,C80,230,P3,NaN
0.23303,0,-1.2026,C80,147,P3,NaN
0.42259,0,-1.4143,C80,351,P3,NaN
0.61249,0,-1.8093,C80,168,P3,NaN
0.84759,0,-1.5568,O,84,P3,NaN
0.86037,0,-1.1146,O,43,P3,NaN
0.34362,0,-1.5538,O,248,P3,NaN
0.484,0,0.39916,C80,153,P3,NaN
0.29497,0,-0.28709,C80,1,P3,NaN
0.85177,0,0.077123,C80,206,P3,NaN
0.98363,0,-0.24027,C80,50,P3,NaN
0.37781,0,0.089638,C80,238,P3,NaN
0.79864,0,-0.62229,C80,59,P3,NaN
0.67944,0,0.41438,C80,264,P3,NaN
0.59343,0,-0.001187,C80,211,P3,NaN
0.47802,0,-0.49922,C80,6,P3,NaN
0.16698,0,0.063203,O,135,P3,NaN
0.27539,0,-0.64061,O,285,P3,NaN
0.89866,0,0.25274,O,143,P3,NaN
0.76235,0,0.69493,C80,161,P3,NaN
0.90171,0,1.5878,C80,127,P3,NaN
0.91707,0,1.1932,C80,332,P3,NaN
0.79579,0,0.93175,C80,257,P3,NaN
0.30411,0,1.6247,C80,217,P3,NaN
0.63087,0,0.85052,C80,311,P3,NaN
0.55939,0,1.1837,C80,268,P3,NaN
0.64923,0,1.0108,C80,179,P3,NaN
0.47735,0,0.77144,C80,138,P3,NaN
0.085941,0,1.1553,O,314,P3,NaN
0.49957,0,1.6407,O,273,P3,NaN
0.6261,0,1.4465,O,112,P3,NaN
-0.3053,0,0.73431,C80,240,P3,NaN
-0.10832,0,1.0345,C80,208,P3,NaN
-0.21527,0,1.5331,C80,315,P3,NaN
