X,Y,Z,Prefab,Rotation,Projector,Filler
0.14117,0,-0.86495,C80,268,P1,NaN
0.19326,0,-1.5324,C80,351,P1,NaN
0.82205,0,-1.1233,C80,196,P1,NaN
0.92299,0,-1.691,O,125,P1,NaN
0.59751,0,-1.6997,O,292,P1,NaN
0.58545,0,-1.5074,O,123,P1,NaN
0.15283,0,-1.2816,O,324,P1,NaN
0.31964,0,-1.2606,O,283,P1,NaN
0.40939,0,-1.5063,O,75,P1,NaN
0.57686,0,-1.0746,O,28,P1,NaN
0.68152,0,-0.85634,O,156,P1,NaN
0.80273,0,-1.3914,O,268,P1,NaN
0.91513,0,-0.21925,C80,62,P1,NaN
0.71429,0,-0.28997,C80,272,P1,NaN
0.1436,0,-0.15847,C80,140,P1,NaN
0.15096,0,0.36946,O,19,P1,NaN
0.63485,0,0.061324,O,161,P1,NaN
0.20883,0,0.010726,O,3,P1,NaN
0.54132,0,-0.19592,O,83,P1,NaN
0.17608,0,0.61249,O,158,P1,NaN
0.84991,0,0.18165,O,289,P1,NaN
0.58212,0,0.34472,O,269,P1,NaN
0.54882,0,0.1874,O,60,P1,NaN
0.39661,0,0.13134,O,246,P1,NaN
0.69064,0,1.4675,C80,70,P1,NaN
0.81976,0,1.8778,C80,311,P1,NaN
0.1452,0,1.7017,C80,25,P1,NaN
0.44118,0,1.28,O,350,P1,NaN
0.97017,0,1.6351,O,93,P1,NaN
0.91836,0,1.3622,O,316,P1,NaN
0.83498,0,1.189,O,30,P1,NaN
0.40458,0,1.4791,O,84,P1,NaN
1.0182,0,1.1573,O,181,P1,NaN
0.17795,0,1.5145,O,343,P1,NaN
0.6851,0,1.7631,O,187,P1,NaN
0.35683,0,0.91249,O,258,P1,NaN
-0.73152,0,1.6589,C80,232,P1,NaN
-0.14212,0,1.6636,C80,185,P1,NaN
-0.50553,0,1.8433,C80,39,P1,NaN
-0.19358,0,1.0904,O,125,P1,NaN
-0.94223,0,1.1369,O,262,P1,NaN
-0.75213,0,0.91942,O,231,P1,NaN
-0.51853,0,1.2429,O,307,P1,NaN
-0.29172,0,1.389,O,331,P1,NaN
-0.95505,0,1.8605,O,163,P1,NaN
-0.29675,0,1.7911,O,141,P1,NaN
-0.37383,0,1.647,O,82,P1,NaN
-0.99765,0,0.90919,O,332,P1,NaN
-0.48808,0,-0.15909,C80,233,P1,NaN
-0.93359,0,0.54923,C80,133,P1,NaN
-0.74147,0,-0.19416,C80,319,P1,NaN
-0.51263,0,-0.35652,O,227,P1,NaN
-0.31317,0,0.092244,O,290,P1,NaN
-0.75186,0,0.42634,O,269,P1,NaN
-0.68794,0,0.071615,O,167,P1,NaN
