X,Y,Z,Prefab,Rotation,Projector,Filler
0.88093,0,-0.8643,C10,336,P1,NaN
0.79076,0,-1.1824,C10,252,P1,NaN
0.32502,0,-1.3818,C10,151,P1,NaN
0.9362,0,-1.2369,C10,116,P1,NaN
0.62042,0,-0.78351,C10,89,P1,NaN
0.41232,0,-1.0786,C10,77,P1,NaN
0.38707,0,-0.7337,C10,186,P1,NaN
0.6619,0,-1.2797,C10,235,P1,NaN
1.0155,0,-1.5218,C10,24,P1,NaN
0.80746,0,-1.5902,O,91,P1,NaN
0.52591,0,-1.3482,O,295,P1,NaN
0.25593,0,-0.99573,O,356,P1,NaN
0.23347,0,-0.19053,C10,51,P1,NaN
0.86334,0,0.4582,C10,243,P1,NaN
0.45815,0,0.18164,C10,138,P1,NaN
0.87126,0,-0.37791,C10,78,P1,NaN
0.53071,0,-0.26418,C10,226,P1,NaN
0.14309,0,0.28263,C10,120,P1,NaN
0.63951,0,-0.05114,C10,243,P1,NaN
0.31985,0,0.64377,C10,13,P1,NaN
0.84053,0,-0.11138,C10,329,P1,NaN
0.53815,0,0.54376,O,269,P1,NaN
0.74124,0,-0.27157,O,130,P1,NaN
0.90214,0,0.24857,O,325,P1,NaN
0.23613,0,1.8583,C10,137,P1,NaN
0.12732,0,1.2014,C10,21,P1,NaN
0.10694,0,1.6627,C10,97,P1,NaN
0.49139,0,1.0449,C10,347,P1,NaN
0.34022,0,0.96538,C10,152,P1,NaN
0.6691,0,1.3571,C10,53,P1,NaN
0.17148,0,0.85917,C10,212,P1,NaN
0.77004,0,1.6214,C10,28,P1,NaN
0.77522,0,0.83991,C10,90,P1,NaN
0.23197,0,1.3463,O,9,P1,NaN
0.61627,0,1.8764,O,5,P1,NaN
0.42739,0,1.6117,O,264,P1,NaN
-0.94916,0,1.6271,C10,209,P1,NaN
-0.63389,0,1.1592,C10,192,P1,NaN
-0.99134,0,1.0483,C10,141,P1,NaN
-0.61045,0,1.8389,C10,53,P1,NaN
-0.31872,0,1.486,C10,175,P1,NaN
-0.53736,0,1.4503,C10,269,P1,NaN
-0.16641,0,0.98995,C10,297,P1,NaN
-0.31024,0,1.671,C10,173,P1,NaN
-0.69459,0,1.3132,C10,8,P1,NaN
-1.0139,0,0.82493,O,85,P1,NaN
-0.79092,0,0.85958,O,336,P1,NaN
-0.073614,0,1.4548,O,101,P1,NaN
-0.7977,0,-0.3474,C10,253,P1,NaN
-0.33321,0,0.4528,C10,152,P1,NaN
-0.29767,0,-0.40122,C10,102,P1,NaN
-0.54646,0,-0.14063,C10,99,P1,NaN
-0.24382,0,-0.23697,C10,337,P1,NaN
-0.24108,0,0.65698,C10,111,P1,NaN
-0.17032,0,0.19361,C10,36,P1,NaN
-0.65246,0,-0.27464,C10,38,P1,NaN
-0.38533,0,0.14518,C10,117,P1,NaN
-0.75936,0,0.40254,O,165,P1,NaN
-0.090692,0,0.65506,O,194,P1,NaN
-1.0253,0,0.44259,O,161,P1,NaN
-1.0261,0,-0.88579,C10,322,P1,NaN
-0.65209,0,-0.75512,C10,347,P1,NaN
-0.78984,0,-1.6987,C10,100,P1,NaN
-0.89773,0,-1.0317,C10,270,P1,NaN
-0.27238,0,-1.2218,C10,76,P1,NaN
-0.83209,0,-0.74357,C10,183,P1,NaN
-0.9223,0,-1.5642,C10,175,P1,NaN
