X,Y,Z,Prefab,Rotation,Projector,Filler
0.91724,0,-1.0248,C10,154,P1,NaN
0.701,0,-1.6522,C10,258,P1,NaN
0.15101,0,-0.63594,C10,28,P1,NaN
0.79361,0,-1.4518,O,216,P1,NaN
0.46325,0,-1.4046,O,228,P1,NaN
0.08673,0,-1.1854,O,138,P1,NaN
0.61783,0,-0.94429,O,180,P1,NaN
0.36482,0,-0.67527,O,144,P1,NaN
0.37661,0,-1.582,O,1,P1,NaN
0.30614,0,-0.82437,O,268,P1,NaN
1.0041,0,-1.4365,O,134,P1,NaN
0.85421,0,-0.62674,O,250,P1,NaN
0.3409,0,0.22252,C10,56,P1,NaN
0.1006,0,0.3605,C10,40,P1,NaN
0.97394,0,0.37873,C10,19,P1,NaN
0.70812,0,0.12765,O,191,P1,NaN
0.90461,0,0.17785,O,53,P1,NaN
0.080265,0,-0.12896,O,131,P1,NaN
0.29457,0,0.017588,O,306,P1,NaN
0.58209,0,0.040764,O,49,P1,NaN
0.16909,0,-0.4419,O,75,P1,NaN
0.48384,0,-0.20254,O,77,P1,NaN
0.23985,0,0.64903,O,89,P1,NaN
0.70189,0,-0.28609,O,205,P1,NaN
0.70279,0,1.4811,C10,305,P1,NaN
0.25931,0,1.3033,C10,201,P1,NaN
0.40443,0,1.0304,C10,89,P1,NaN
0.1668,0,1.59,O,74,P1,NaN
0.87176,0,1.4436,O,212,P1,NaN
0.13515,0,0.86193,O,194,P1,NaN
0.42965,0,1.83,O,51,P1,NaN
0.541,0,1.5001,O,17,P1,NaN
0.98438,0,1.599,O,175,P1,NaN
0.63556,0,1.0121,O,246,P1,NaN
0.37691,0,1.6362,O,27,P1,NaN
0.97528,0,1.1196,O,343,P1,NaN
-0.072672,0,1.1654,C10,101,P1,NaN
-0.30316,0,1.8918,C10,252,P1,NaN
-0.25013,0,0.97286,C10,51,P1,NaN
-0.64523,0,1.8985,O,337,P1,NaN
-0.50133,0,0.92137,O,261,P1,NaN
-0.27058,0,1.5149,O,270,P1,NaN
-0.67645,0,0.86275,O,148,P1,NaN
-0.12813,0,1.4378,O,98,P1,NaN
-0.2628,0,1.1417,O,101,P1,NaN
-0.48413,0,1.0874,O,300,P1,NaN
-0.97378,0,1.5996,O,75,P1,NaN
-0.31034,0,1.3014,O,139,P1,NaN
-0.75333,0,-0.35537,C10,339,P1,NaN
-0.18886,0,0.046751,C10,355,P1,NaN
-0.47708,0,0.48454,C10,134,P1,NaN
-0.97628,0,-0.077154,O,3,P1,NaN
-0.66701,0,0.40297,O,48,P1,NaN
-0.43797,0,-0.34856,O,222,P1,NaN
-0.087107,0,-0.18427,O,106,P1,NaN
-0.25318,0,-0.35404,O,293,P1,NaN
-0.88939,0,0.49553,O,71,P1,NaN
-0.2758,0,-0.1795,O,250,P1,NaN
-0.070567,0,0.50973,O,257,P1,NaN
-0.75231,0,0.16313,O,245,P1,NaN
-0.2978,0,-0.73465,C10,233,P1,NaN
-0.11867,0,-0.87468,C10,319,P1,NaN
-0.93131,0,-1.0809,C10,18,P1,NaN
-0.13227,0,-1.0518,O,11,P1,NaN
-0.52262,0,-0.76278,O,7,P1,NaN
-0.30031,0,-1.5636,O,152,P1,NaN
-0.76026,0,-0.93467,O,283,P1,NaN
-0.21917,0,-1.2167,O,343,P1,NaN
-0.10658,0,-1.3263,O,161,P1,NaN
