X,Y,Z,Prefab,Rotation,Projector,Filler
-0.848479999999999,0,1.4992,C10,213,P3,NaN
-0.21965,0,0.7679,C10,201,P3,NaN
-0.66867,0,0.94019,C10,176,P3,NaN
-0.545630000000001,0,1.7225,C10,265,P3,NaN
-0.12261,0,1.2565,C10,113,P3,NaN
-0.902200000000001,0,1.0828,C10,232,P3,NaN
-0.57316,0,0.64753,C10,104,P3,NaN
-0.0975379999999995,0,1.5679,C10,14,P3,NaN
-0.382110000000001,0,0.80756,C10,265,P3,NaN
-0.95767,0,0.69837,O,328,P3,NaN
-0.74906,0,1.2713,O,239,P3,NaN
-0.78449,0,0.65076,O,339,P3,NaN
-0.19062,0,-0.35043,C10,334,P3,NaN
-0.27802,0,-0.19913,C10,294,P3,NaN
-1.0289,0,0.42417,C10,160,P3,NaN
-0.99142,0,0.0377819999999999,C10,269,P3,NaN
-0.22817,0,-0.0138850000000001,C10,180,P3,NaN
-0.37031,0,0.16841,C10,201,P3,NaN
-0.1821,0,0.24389,C10,131,P3,NaN
-0.4925,0,-0.60227,C10,32,P3,NaN
-0.0711010000000001,0,0.43511,C10,32,P3,NaN
-0.82613,0,-0.13561,O,322,P3,NaN
-0.95004,0,0.18916,O,355,P3,NaN
-0.69457,0,0.45807,O,359,P3,NaN
-0.77021,0,-1.0893,C10,109,P3,NaN
-0.21298,0,-1.1789,C10,335,P3,NaN
-0.44302,0,-0.80704,C10,39,P3,NaN
-0.97499,0,-1.7957,C10,48,P3,NaN
-0.43862,0,-1.1696,C10,10,P3,NaN
-0.6609,0,-1.346,C10,326,P3,NaN
-0.52448,0,-1.6924,C10,69,P3,NaN
-0.60316,0,-1.0842,C10,334,P3,NaN
-0.22618,0,-1.8816,C10,266,P3,NaN
-0.90448,0,-1.5756,O,99,P3,NaN
-0.12804,0,-0.83274,O,252,P3,NaN
-0.41944,0,-1.389,O,301,P3,NaN
0.35678,0,-1.399,C10,305,P3,NaN
0.0924840000000003,0,-1.1779,C10,339,P3,NaN
0.12202,0,-1.5285,C10,123,P3,NaN
0.97439,0,-1.5173,C10,108,P3,NaN
0.57611,0,-1.276,C10,60,P3,NaN
0.48147,0,-1.8733,C10,272,P3,NaN
0.25865,0,-0.83837,C10,306,P3,NaN
0.73183,0,-1.1764,C10,344,P3,NaN
0.49945,0,-1.5188,C10,75,P3,NaN
0.61031,0,-0.8238,O,0,P3,NaN
0.36463,0,-1.0457,O,306,P3,NaN
0.60883,0,-1.0779,O,111,P3,NaN
0.55554,0,0.0117730000000001,C10,243,P3,NaN
0.20316,0,0.00352250000000006,C10,258,P3,NaN
