X,Y,Z,Prefab,Rotation,Projector,Filler
-0.72813,0,0.65369,C80,239,P3,NaN
-0.25512,0,1.4863,C80,151,P3,NaN
-0.19363,0,0.98948,C80,211,P3,NaN
-0.938430000000001,0,1.6018,C80,308,P3,NaN
-0.71037,0,1.381,C80,280,P3,NaN
-0.9543,0,1.3094,C80,251,P3,NaN
-0.31858,0,0.80428,O,309,P3,NaN
-0.494299999999999,0,1.7174,O,283,P3,NaN
-0.624260000000001,0,0.98251,O,213,P3,NaN
-0.83686,0,0.86388,O,225,P3,NaN
-0.166290000000001,0,1.255,O,350,P3,NaN
-0.11065,0,1.7115,O,9,P3,NaN
-0.32011,0,-0.18324,C80,304,P3,NaN
-0.65524,0,-0.11906,C80,30,P3,NaN
-0.13582,0,0.26315,C80,303,P3,NaN
-0.72247,0,-0.60669,C80,120,P3,NaN
-0.61578,0,-0.35893,C80,131,P3,NaN
-0.44103,0,-0.0942960000000001,C80,275,P3,NaN
-0.42141,0,0.3793,O,193,P3,NaN
-0.24706,0,-0.39792,O,313,P3,NaN
-0.8527,0,-0.12144,O,350,P3,NaN
-0.15436,0,0.065379,O,300,P3,NaN
-0.15078,0,-0.65208,O,72,P3,NaN
-0.91059,0,0.32694,O,289,P3,NaN
-0.50783,0,-1.7735,C80,270,P3,NaN
-0.21386,0,-0.84566,C80,91,P3,NaN
-0.12234,0,-1.8447,C80,334,P3,NaN
-0.91267,0,-1.1452,C80,85,P3,NaN
-0.99254,0,-0.83842,C80,348,P3,NaN
-0.94633,0,-1.3714,C80,217,P3,NaN
-0.76362,0,-1.4431,O,28,P3,NaN
-0.82421,0,-1.8145,O,343,P3,NaN
-0.37167,0,-1.6396,O,63,P3,NaN
-0.58744,0,-1.5116,O,283,P3,NaN
-0.12666,0,-1.4891,O,83,P3,NaN
-0.57749,0,-1.1827,O,137,P3,NaN
0.47781,0,-1.1744,C80,193,P3,NaN
0.88098,0,-1.0594,C80,89,P3,NaN
0.889080000000001,0,-1.6534,C80,70,P3,NaN
0.74776,0,-1.3068,C80,136,P3,NaN
0.12945,0,-0.8077,C80,267,P3,NaN
0.58709,0,-0.90442,C80,118,P3,NaN
0.6458,0,-1.5847,O,108,P3,NaN
0.44239,0,-1.7981,O,109,P3,NaN
0.81359,0,-0.91372,O,215,P3,NaN
0.18862,0,-1.4134,O,48,P3,NaN
0.67424,0,-1.1708,O,139,P3,NaN
0.40848,0,-1.5906,O,287,P3,NaN
1.0082,0,0.30155,C80,274,P3,NaN
0.54804,0,0.25056,C80,22,P3,NaN
0.22746,0,0.23026,C80,119,P3,NaN
1.0139,0,-0.29476,C80,87,P3,NaN
0.91627,0,-0.0801179999999998,C80,247,P3,NaN
0.59811,0,0.0654590000000001,C80,127,P3,NaN
0.1539,0,-0.48543,O,70,P3,NaN
0.48052,0,-0.58036,O,206,P3,NaN
0.8595,0,-0.40156,O,158,P3,NaN
0.43229,0,-0.054335,O,19,P3,NaN
0.13013,0,-0.022077,O,12,P3,NaN
0.85557,0,0.43351,O,298,P3,NaN
0.81579,0,1.2413,C80,84,P3,NaN
0.73423,0,0.94697,C80,289,P3,NaN
0.12702,0,0.80879,C80,257,P3,NaN
0.60436,0,1.7076,C80,235,P3,NaN
0.72064,0,1.0983,C80,216,P3,NaN
0.88998,0,0.74196,C80,246,P3,NaN
0.46503,0,0.65984,O,122,P3,NaN
0.099755,0,0.99014,O,302,P3,NaN
0.693,0,0.71086,O,91,P3,NaN
0.3126,0,0.76273,O,146,P3,NaN
0.21961,0,1.4677,O,6,P3,NaN
0.7868,0,1.5563,O,335,P3,NaN
-0.274299999999999,0,1.2456,C80,263,P2,NaN
-0.80154,0,0.77538,C80,316,P2,NaN
-0.56469,0,1.3835,C80,179,P2,NaN
-0.0734629999999996,0,1.5624,C80,284,P2,NaN
-0.83927,0,0.92915,C80,228,P2,NaN
-0.10194,0,1.0418,C80,5,P2,NaN
-0.61222,0,1.1317,O,85,P2,NaN
-1.0222,0,1.8749,O,294,P2,NaN
-0.797030000000001,0,1.8396,O,203,P2,NaN
-0.53419,0,1.6067,O,133,P2,NaN
-0.45179,0,1.1225,O,58,P2,NaN
-0.10201,0,1.3961,O,233,P2,NaN
-0.94053,0,0.12915,C80,54,P2,NaN
-0.65314,0,-0.0226739999999999,C80,250,P2,NaN
-0.44561,0,-0.24353,C80,145,P2,NaN
-0.18193,0,-0.45819,C80,173,P2,NaN
-0.67865,0,-0.45505,C80,15,P2,NaN
-0.48501,0,-0.51954,C80,275,P2,NaN
-0.39644,0,0.21536,O,342,P2,NaN
-0.21273,0,0.00649270000000004,O,182,P2,NaN
-0.92444,0,0.53668,O,319,P2,NaN
-0.24974,0,0.47887,O,19,P2,NaN
-0.93818,0,-0.22542,O,142,P2,NaN
-0.58759,0,0.47085,O,275,P2,NaN
-0.39424,0,-0.87895,C80,79,P2,NaN
-0.55198,0,-1.1278,C80,200,P2,NaN
-0.087444,0,-1.5025,C80,99,P2,NaN
-0.76272,0,-1.5782,C80,82,P2,NaN
-0.979,0,-1.0066,C80,321,P2,NaN
-0.19928,0,-0.85472,C80,27,P2,NaN
-0.8686,0,-1.1439,O,317,P2,NaN
-0.87099,0,-1.828,O,313,P2,NaN
-0.65615,0,-0.81735,O,82,P2,NaN
-0.45747,0,-1.793,O,128,P2,NaN
-0.91537,0,-1.6049,O,60,P2,NaN
-0.52193,0,-1.3061,O,53,P2,NaN
0.74689,0,-1.5145,C80,31,P2,NaN
0.15986,0,-1.4797,C80,298,P2,NaN
0.34058,0,-1.6513,C80,265,P2,NaN
0.45407,0,-1.525,C80,29,P2,NaN
0.95921,0,-1.4339,C80,98,P2,NaN
0.72954,0,-0.96276,C80,255,P2,NaN
0.83505,0,-1.7396,O,88,P2,NaN
0.23148,0,-1.017,O,350,P2,NaN
0.1187,0,-1.2315,O,175,P2,NaN
0.6397,0,-1.8612,O,319,P2,NaN
0.267500000000001,0,-1.8297,O,175,P2,NaN
0.49186,0,-0.84859,O,7,P2,NaN
0.40207,0,-0.16255,C80,80,P2,NaN
0.24332,0,-0.34632,C80,274,P2,NaN
0.48286,0,0.37495,C80,168,P2,NaN
0.25317,0,0.45737,C80,154,P2,NaN
0.30866,0,0.21063,C80,238,P2,NaN
0.087519,0,-0.49892,C80,207,P2,NaN
0.74309,0,0.23736,O,254,P2,NaN
0.4063,0,-0.55642,O,16,P2,NaN
0.84461,0,0.40086,O,349,P2,NaN
0.78923,0,-0.50845,O,283,P2,NaN
0.78389,0,-0.035541,O,147,P2,NaN
0.99047,0,-0.55381,O,305,P2,NaN
0.34218,0,0.96832,C80,15,P2,NaN
0.63043,0,1.0224,C80,207,P2,NaN
0.61508,0,1.2802,C80,340,P2,NaN
0.49367,0,1.6721,C80,69,P2,NaN
0.7825,0,1.5411,C80,204,P2,NaN
0.36693,0,1.1831,C80,25,P2,NaN
0.91934,0,1.3263,O,343,P2,NaN
0.69937,0,0.72003,O,187,P2,NaN
0.96171,0,1.6132,O,97,P2,NaN
0.87315,0,1.8452,O,20,P2,NaN
0.87855,0,0.84719,O,187,P2,NaN
0.78757,0,1.0528,O,303,P2,NaN
-0.33171,0,1.0101,C80,43,P1,NaN
-1.0115,0,1.7341,C80,232,P1,NaN
-0.128919999999999,0,1.1582,C80,186,P1,NaN
-0.13717,0,1.3877,C80,30,P1,NaN
-0.66973,0,1.4876,C80,44,P1,NaN
-0.819500000000001,0,0.91026,C80,36,P1,NaN
-0.728650000000001,0,1.2698,O,301,P1,NaN
-0.21563,0,0.80621,O,114,P1,NaN
-0.18361,0,1.5585,O,321,P1,NaN
-0.625690000000001,0,1.8174,O,138,P1,NaN
-0.92808,0,1.3922,O,182,P1,NaN
-0.14417,0,1.7472,O,115,P1,NaN
-0.26997,0,0.29151,C80,305,P1,NaN
-0.10843,0,0.4246,C80,291,P1,NaN
-0.27646,0,-0.44372,C80,287,P1,NaN
-0.12915,0,0.21359,C80,270,P1,NaN
-0.78049,0,0.15985,C80,117,P1,NaN
-0.56126,0,0.49983,C80,271,P1,NaN
-0.31996,0,-0.24936,O,326,P1,NaN
-0.35889,0,0.46473,O,56,P1,NaN
-0.15535,0,0.053158,O,145,P1,NaN
-0.56363,0,-0.057007,O,173,P1,NaN
-0.75907,0,0.65123,O,15,P1,NaN
-0.10633,0,-0.24694,O,195,P1,NaN
-0.4682,0,-0.95782,C80,153,P1,NaN
-0.68736,0,-1.5658,C80,296,P1,NaN
-0.1421,0,-1.3544,C80,198,P1,NaN
-0.64793,0,-1.2955,C80,267,P1,NaN
-1.0071,0,-1.3643,C80,207,P1,NaN
-0.38333,0,-1.2102,C80,37,P1,NaN
-0.93424,0,-1.0293,O,356,P1,NaN
-0.10635,0,-0.69467,O,139,P1,NaN
-0.57457,0,-1.4328,O,256,P1,NaN
-0.30785,0,-1.6791,O,63,P1,NaN
-0.64322,0,-0.77451,O,167,P1,NaN
-0.85403,0,-1.2471,O,124,P1,NaN
0.86443,0,-0.84137,C80,34,P1,NaN
0.73084,0,-1.3442,C80,37,P1,NaN
0.89777,0,-1.4071,C80,358,P1,NaN
0.68363,0,-1.1584,C80,61,P1,NaN
0.69935,0,-0.77654,C80,319,P1,NaN
0.57248,0,-0.90874,C80,273,P1,NaN
0.70691,0,-1.661,O,7,P1,NaN
0.51685,0,-1.158,O,353,P1,NaN
0.14259,0,-0.80915,O,167,P1,NaN
0.1821,0,-1.4545,O,212,P1,NaN
0.32078,0,-1.1259,O,254,P1,NaN
0.61565,0,-1.528,O,248,P1,NaN
0.17792,0,0.19865,C80,118,P1,NaN
0.30706,0,0.31396,C80,290,P1,NaN
0.54044,0,-0.26702,C80,21,P1,NaN
0.75561,0,-0.31563,C80,141,P1,NaN
0.60333,0,0.55626,C80,136,P1,NaN
0.65744,0,-0.1508,C80,328,P1,NaN
0.9491,0,0.63275,O,204,P1,NaN
0.14061,0,0.02177,O,126,P1,NaN
0.43688,0,0.50006,O,265,P1,NaN
0.83876,0,-0.0723809999999999,O,201,P1,NaN
0.1059,0,-0.44838,O,123,P1,NaN
0.29298,0,-0.32031,O,215,P1,NaN
0.97711,0,1.2822,C80,246,P1,NaN
0.57408,0,1.0209,C80,204,P1,NaN
0.14316,0,1.4266,C80,23,P1,NaN
0.88228,0,1.6327,C80,136,P1,NaN
0.80398,0,1.8925,C80,290,P1,NaN
0.97549,0,1.0165,C80,55,P1,NaN
