X,Y,Z,Prefab,Rotation,Projector,Filler
-0.917240000000001,0,1.0248,C10,334,P3,NaN
-0.701,0,1.6522,C10,78,P3,NaN
-0.15101,0,0.63594,C10,208,P3,NaN
-0.793609999999999,0,1.4518,O,36,P3,NaN
-0.463250000000001,0,1.4046,O,48,P3,NaN
-0.08673,0,1.1854,O,318,P3,NaN
-0.61783,0,0.94429,O,0,P3,NaN
-0.36482,0,0.67527,O,324,P3,NaN
-0.37661,0,1.582,O,181,P3,NaN
-0.30614,0,0.82437,O,88,P3,NaN
-1.0041,0,1.4365,O,314,P3,NaN
-0.85421,0,0.62674,O,70,P3,NaN
-0.3409,0,-0.22252,C10,236,P3,NaN
-0.1006,0,-0.3605,C10,220,P3,NaN
-0.97394,0,-0.37873,C10,199,P3,NaN
-0.70812,0,-0.12765,O,11,P3,NaN
-0.90461,0,-0.17785,O,233,P3,NaN
-0.080265,0,0.12896,O,311,P3,NaN
-0.29457,0,-0.017588,O,126,P3,NaN
-0.58209,0,-0.0407640000000002,O,229,P3,NaN
-0.16909,0,0.4419,O,255,P3,NaN
-0.48384,0,0.20254,O,257,P3,NaN
-0.23985,0,-0.64903,O,269,P3,NaN
-0.70189,0,0.28609,O,25,P3,NaN
-0.70279,0,-1.4811,C10,125,P3,NaN
-0.25931,0,-1.3033,C10,21,P3,NaN
-0.40443,0,-1.0304,C10,269,P3,NaN
-0.1668,0,-1.59,O,254,P3,NaN
-0.871759999999999,0,-1.4436,O,32,P3,NaN
-0.13515,0,-0.86193,O,14,P3,NaN
-0.42965,0,-1.83,O,231,P3,NaN
-0.541,0,-1.5001,O,197,P3,NaN
-0.98438,0,-1.599,O,355,P3,NaN
-0.63556,0,-1.0121,O,66,P3,NaN
-0.37691,0,-1.6362,O,207,P3,NaN
-0.97528,0,-1.1196,O,163,P3,NaN
0.0726720000000002,0,-1.1654,C10,281,P3,NaN
0.303160000000001,0,-1.8918,C10,72,P3,NaN
0.25013,0,-0.97286,C10,231,P3,NaN
0.64523,0,-1.8985,O,157,P3,NaN
0.50133,0,-0.92137,O,81,P3,NaN
0.27058,0,-1.5149,O,90,P3,NaN
0.67645,0,-0.86275,O,328,P3,NaN
0.12813,0,-1.4378,O,278,P3,NaN
0.2628,0,-1.1417,O,281,P3,NaN
0.48413,0,-1.0874,O,120,P3,NaN
0.97378,0,-1.5996,O,255,P3,NaN
0.31034,0,-1.3014,O,319,P3,NaN
0.75333,0,0.35537,C10,159,P3,NaN
0.18886,0,-0.046751,C10,175,P3,NaN
0.47708,0,-0.48454,C10,314,P3,NaN
0.97628,0,0.0771540000000002,O,183,P3,NaN
0.66701,0,-0.40297,O,228,P3,NaN
0.43797,0,0.34856,O,42,P3,NaN
0.087107,0,0.18427,O,286,P3,NaN
0.25318,0,0.35404,O,113,P3,NaN
0.88939,0,-0.49553,O,251,P3,NaN
0.2758,0,0.1795,O,70,P3,NaN
0.0705670000000001,0,-0.50973,O,77,P3,NaN
0.75231,0,-0.16313,O,65,P3,NaN
0.2978,0,0.73465,C10,53,P3,NaN
0.11867,0,0.87468,C10,139,P3,NaN
0.93131,0,1.0809,C10,198,P3,NaN
0.13227,0,1.0518,O,191,P3,NaN
0.52262,0,0.76278,O,187,P3,NaN
0.30031,0,1.5636,O,332,P3,NaN
0.76026,0,0.93467,O,103,P3,NaN
0.21917,0,1.2167,O,163,P3,NaN
0.10658,0,1.3263,O,341,P3,NaN
0.65632,0,1.5287,O,216,P3,NaN
0.45781,0,1.4787,O,160,P3,NaN
0.55965,0,1.6877,O,140,P3,NaN
-0.77921,0,0.82706,C10,346,P2,NaN
-0.795040000000001,0,1.0811,C10,356,P2,NaN
-0.60167,0,1.1203,C10,60,P2,NaN
-0.57796,0,1.2858,O,149,P2,NaN
-0.37478,0,1.8788,O,3,P2,NaN
-0.91716,0,1.4406,O,90,P2,NaN
-0.31553,0,0.7625,O,250,P2,NaN
-0.94796,0,0.79235,O,86,P2,NaN
-0.210020000000001,0,1.6683,O,14,P2,NaN
-0.48794,0,0.88331,O,229,P2,NaN
-0.31309,0,1.4227,O,11,P2,NaN
-0.741469999999999,0,1.5897,O,40,P2,NaN
-0.17092,0,0.0221829999999999,C10,344,P2,NaN
-0.88949,0,0.0208060000000003,C10,293,P2,NaN
-0.99668,0,0.2882,C10,0,P2,NaN
-0.86344,0,-0.31977,O,22,P2,NaN
-0.70736,0,0.0876100000000001,O,142,P2,NaN
-0.16683,0,0.56554,O,244,P2,NaN
-0.11929,0,-0.42138,O,317,P2,NaN
-0.75031,0,0.49709,O,107,P2,NaN
-0.84075,0,0.36338,O,3,P2,NaN
-0.18933,0,0.23263,O,255,P2,NaN
-0.65007,0,-0.14217,O,104,P2,NaN
-0.12972,0,-0.2125,O,131,P2,NaN
-0.68696,0,-1.7933,C10,197,P2,NaN
-0.60204,0,-1.6395,C10,326,P2,NaN
-0.88502,0,-1.1604,C10,219,P2,NaN
-0.14485,0,-1.8437,O,171,P2,NaN
-0.484829999999999,0,-1.4968,O,295,P2,NaN
-0.63283,0,-1.4404,O,62,P2,NaN
-0.77198,0,-0.88711,O,6,P2,NaN
-0.38216,0,-1.1595,O,176,P2,NaN
-0.64514,0,-0.74093,O,268,P2,NaN
-0.78509,0,-1.5787,O,95,P2,NaN
-0.53705,0,-1.8788,O,59,P2,NaN
-0.17826,0,-1.1847,O,195,P2,NaN
0.6869,0,-0.78243,C10,182,P2,NaN
0.50829,0,-1.451,C10,228,P2,NaN
0.12137,0,-0.80879,C10,332,P2,NaN
0.41913,0,-0.73074,O,174,P2,NaN
0.53927,0,-1.8043,O,133,P2,NaN
0.50363,0,-1.614,O,22,P2,NaN
0.67721,0,-0.99188,O,55,P2,NaN
0.29122,0,-1.1859,O,332,P2,NaN
0.38961,0,-1.7771,O,234,P2,NaN
0.89221,0,-1.6103,O,99,P2,NaN
0.80832,0,-1.3226,O,80,P2,NaN
0.13223,0,-1.1521,O,259,P2,NaN
0.87676,0,-0.1138,C10,342,P2,NaN
0.72356,0,0.0567030000000001,C10,262,P2,NaN
0.28907,0,0.17492,C10,169,P2,NaN
0.83535,0,-0.55069,O,213,P2,NaN
0.10228,0,0.50122,O,293,P2,NaN
0.7733,0,-0.38299,O,245,P2,NaN
0.38978,0,-0.47756,O,31,P2,NaN
0.27679,0,0.38827,O,29,P2,NaN
0.65039,0,0.3755,O,277,P2,NaN
0.99141,0,0.50237,O,228,P2,NaN
0.12066,0,-0.35932,O,63,P2,NaN
0.95121,0,0.30066,O,264,P2,NaN
0.0921619999999999,0,1.6245,C10,195,P2,NaN
0.42364,0,0.82271,C10,195,P2,NaN
0.71015,0,1.4233,C10,166,P2,NaN
0.38089,0,1.094,O,323,P2,NaN
0.69642,0,1.0762,O,23,P2,NaN
