X,Y,Z,Prefab,Rotation,Projector,Filler
-0.9047,0,1.0592,C80,55,P3,NaN
-0.38005,0,1.2296,C80,324,P3,NaN
-0.87611,0,0.87267,C80,330,P3,NaN
-0.7099,0,1.0721,C80,235,P3,NaN
-0.18638,0,1.2101,C80,189,P3,NaN
-0.59901,0,1.1825,C80,210,P3,NaN
-0.43674,0,1.3845,C80,237,P3,NaN
-0.29234,0,1.7134,C80,172,P3,NaN
-0.797,0,1.515,C80,241,P3,NaN
-0.369010000000001,0,0.8281,O,83,P3,NaN
-0.97147,0,1.2104,O,260,P3,NaN
-0.10042,0,0.91669,O,273,P3,NaN
-0.96168,0,-0.4759,C80,0,P3,NaN
-0.49686,0,0.42037,C80,182,P3,NaN
-0.1396,0,-0.44934,C80,196,P3,NaN
-0.26938,0,0.086383,C80,31,P3,NaN
-0.79768,0,-0.53078,C80,137,P3,NaN
-0.53016,0,0.14409,C80,255,P3,NaN
-0.38393,0,-0.37943,C80,168,P3,NaN
-0.88777,0,0.12902,C80,7,P3,NaN
-0.43151,0,-0.17115,C80,57,P3,NaN
-0.99983,0,-0.26871,O,252,P3,NaN
-0.19139,0,0.27085,O,214,P3,NaN
-0.89851,0,0.40779,O,343,P3,NaN
-0.53798,0,-0.86562,C80,288,P3,NaN
-0.75962,0,-1.5109,C80,15,P3,NaN
-0.75471,0,-1.1936,C80,44,P3,NaN
-0.25112,0,-1.3942,C80,286,P3,NaN
-0.68923,0,-0.93233,C80,299,P3,NaN
-0.59866,0,-1.7671,C80,181,P3,NaN
-0.13398,0,-1.8342,C80,212,P3,NaN
-0.90026,0,-1.8817,C80,164,P3,NaN
-0.39222,0,-0.82412,C80,248,P3,NaN
-0.8946,0,-1.4191,O,71,P3,NaN
-0.46366,0,-1.2605,O,63,P3,NaN
-0.38153,0,-1.5382,O,319,P3,NaN
0.60462,0,-0.96733,C80,98,P3,NaN
0.22455,0,-1.8965,C80,273,P3,NaN
0.76965,0,-1.1004,C80,256,P3,NaN
0.36448,0,-1.3949,C80,104,P3,NaN
0.44946,0,-1.2699,C80,130,P3,NaN
0.21707,0,-1.4748,C80,288,P3,NaN
0.83096,0,-1.763,C80,117,P3,NaN
0.19805,0,-0.95182,C80,1,P3,NaN
0.29721,0,-1.6696,C80,301,P3,NaN
0.72634,0,-1.4667,O,233,P3,NaN
0.661900000000001,0,-1.788,O,275,P3,NaN
1.0033,0,-1.7681,O,54,P3,NaN
0.94184,0,-0.17406,C80,209,P3,NaN
0.29424,0,0.0753070000000001,C80,112,P3,NaN
0.96453,0,-0.53189,C80,31,P3,NaN
1.0045,0,0.0899120000000002,C80,90,P3,NaN
0.83164,0,0.147,C80,55,P3,NaN
0.46259,0,-0.42059,C80,170,P3,NaN
0.78146,0,-0.55417,C80,172,P3,NaN
0.7923,0,-0.0480529999999998,C80,73,P3,NaN
0.49629,0,-0.20012,C80,224,P3,NaN
0.0897339999999999,0,0.30101,O,114,P3,NaN
0.92731,0,-0.36699,O,84,P3,NaN
0.52374,0,0.35966,O,156,P3,NaN
0.56938,0,1.3593,C80,216,P3,NaN
0.0929309999999999,0,1.6045,C80,95,P3,NaN
0.17822,0,0.85861,C80,318,P3,NaN
0.2534,0,1.4764,C80,357,P3,NaN
1.0193,0,1.279,C80,23,P3,NaN
0.86581,0,1.5395,C80,222,P3,NaN
0.66611,0,1.1985,C80,213,P3,NaN
0.39351,0,0.94734,C80,18,P3,NaN
0.69518,0,1.4683,C80,215,P3,NaN
0.93231,0,0.88806,O,234,P3,NaN
0.65644,0,0.80494,O,143,P3,NaN
0.50502,0,0.83187,O,275,P3,NaN
-0.6242,0,0.92235,C80,127,P2,NaN
-0.41138,0,0.97283,C80,194,P2,NaN
-0.89247,0,1.842,C80,12,P2,NaN
-0.449919999999999,0,1.486,C80,82,P2,NaN
-0.977000000000001,0,0.98478,C80,183,P2,NaN
-0.703509999999999,0,1.7341,C80,102,P2,NaN
-0.48365,0,1.7915,C80,330,P2,NaN
-0.32031,0,1.8077,C80,249,P2,NaN
-0.0769830000000007,0,1.0908,C80,61,P2,NaN
-0.65199,0,1.3761,O,158,P2,NaN
-0.45418,0,1.1526,O,288,P2,NaN
-0.514670000000001,0,1.6315,O,148,P2,NaN
-0.3291,0,-0.21636,C80,314,P2,NaN
-0.97768,0,-0.225680000000001,C80,12,P2,NaN
-0.33124,0,0.056798,C80,42,P2,NaN
-0.47273,0,-0.33525,C80,334,P2,NaN
-0.92179,0,0.29365,C80,227,P2,NaN
-0.34312,0,0.42266,C80,56,P2,NaN
-0.17145,0,0.55869,C80,98,P2,NaN
-0.73866,0,-0.16751,C80,9,P2,NaN
-0.90103,0,-0.57038,C80,43,P2,NaN
-0.74255,0,0.53549,O,295,P2,NaN
-0.18281,0,0.0305530000000001,O,34,P2,NaN
-0.85029,0,-0.34197,O,135,P2,NaN
-0.38007,0,-1.4549,C80,151,P2,NaN
-0.20236,0,-1.3047,C80,286,P2,NaN
-0.6475,0,-1.186,C80,32,P2,NaN
-0.13053,0,-1.7287,C80,330,P2,NaN
-0.7733,0,-1.5175,C80,25,P2,NaN
-0.9586,0,-0.8506,C80,95,P2,NaN
-0.15747,0,-0.812,C80,35,P2,NaN
-0.99172,0,-1.3802,C80,328,P2,NaN
-0.24384,0,-1.0043,C80,149,P2,NaN
-0.48647,0,-1.7653,O,239,P2,NaN
-0.83326,0,-1.7994,O,234,P2,NaN
-0.9912,0,-1.5791,O,39,P2,NaN
0.83566,0,-0.7533,C80,116,P2,NaN
0.83288,0,-0.91081,C80,318,P2,NaN
0.20428,0,-1.0831,C80,357,P2,NaN
0.46338,0,-1.3103,C80,274,P2,NaN
0.58339,0,-1.2198,C80,257,P2,NaN
0.588420000000001,0,-1.7862,C80,31,P2,NaN
0.24148,0,-0.73094,C80,112,P2,NaN
0.73988,0,-1.4836,C80,336,P2,NaN
0.3215,0,-1.3626,C80,1,P2,NaN
0.90218,0,-1.1293,O,64,P2,NaN
0.5735,0,-1.6051,O,94,P2,NaN
0.38537,0,-0.83859,O,7,P2,NaN
0.67989,0,0.3601,C80,52,P2,NaN
0.93384,0,-0.050513,C80,221,P2,NaN
0.53576,0,-0.0521379999999999,C80,256,P2,NaN
0.26784,0,0.26457,C80,355,P2,NaN
0.79039,0,0.5639,C80,47,P2,NaN
0.29566,0,0.10016,C80,133,P2,NaN
0.08972,0,0.00612280000000002,C80,242,P2,NaN
0.89754,0,-0.26497,C80,73,P2,NaN
0.31859,0,-0.13912,C80,19,P2,NaN
0.73312,0,0.17895,O,157,P2,NaN
0.86137,0,0.31904,O,33,P2,NaN
