X,Y,Z,Prefab,Rotation,Projector,Filler
-0.48438,0,0.87754,C80,255,P3,NaN
-0.221570000000001,0,0.86151,C80,323,P3,NaN
-0.76389,0,1.3455,C80,12,P3,NaN
-0.145320000000001,0,1.2916,O,201,P3,NaN
-0.2918,0,1.6704,O,106,P3,NaN
-0.82728,0,0.85325,O,359,P3,NaN
-0.45703,0,1.1087,O,313,P3,NaN
-0.99841,0,1.1281,O,44,P3,NaN
-0.14249,0,0.66018,O,339,P3,NaN
-0.91606,0,0.69764,O,73,P3,NaN
-0.774529999999999,0,1.5341,O,201,P3,NaN
-0.573080000000001,0,1.5065,O,250,P3,NaN
-0.997,0,-0.0513290000000004,C80,144,P3,NaN
-0.45778,0,-0.3029,C80,22,P3,NaN
-0.51859,0,0.32178,C80,266,P3,NaN
-0.92534,0,-0.60834,O,20,P3,NaN
-0.36048,0,0.15072,O,167,P3,NaN
-0.62383,0,-0.62473,O,267,P3,NaN
-0.95354,0,0.44795,O,185,P3,NaN
-0.10005,0,0.12566,O,338,P3,NaN
-0.94547,0,0.14233,O,192,P3,NaN
-0.19625,0,-0.21427,O,17,P3,NaN
-0.77988,0,0.44426,O,38,P3,NaN
-0.29018,0,0.41355,O,316,P3,NaN
-0.53579,0,-0.99292,C80,125,P3,NaN
-0.60204,0,-1.6128,C80,87,P3,NaN
-0.33965,0,-1.0602,C80,22,P3,NaN
-0.94293,0,-0.8954,O,274,P3,NaN
-0.9321,0,-1.2376,O,232,P3,NaN
-0.989909999999999,0,-1.6321,O,199,P3,NaN
-0.37629,0,-1.7212,O,286,P3,NaN
-0.0757880000000001,0,-1.8534,O,323,P3,NaN
-0.94087,0,-1.8355,O,26,P3,NaN
-0.53296,0,-1.1464,O,175,P3,NaN
-0.30693,0,-1.4543,O,279,P3,NaN
-0.65414,0,-1.2841,O,180,P3,NaN
0.57299,0,-1.3328,C80,35,P3,NaN
0.67555,0,-1.7299,C80,354,P3,NaN
0.27221,0,-1.6971,C80,171,P3,NaN
0.17076,0,-1.3226,O,163,P3,NaN
0.87532,0,-1.0335,O,339,P3,NaN
0.83064,0,-1.5797,O,300,P3,NaN
0.41954,0,-1.8902,O,359,P3,NaN
0.97756,0,-0.86605,O,28,P3,NaN
0.94704,0,-1.456,O,167,P3,NaN
0.51234,0,-0.86984,O,169,P3,NaN
0.81042,0,-0.8715,O,174,P3,NaN
0.89301,0,-1.2981,O,338,P3,NaN
0.12273,0,-0.030493,C80,119,P3,NaN
0.93533,0,0.12616,C80,5,P3,NaN
0.48656,0,0.41805,C80,30,P3,NaN
0.35206,0,-0.62791,O,345,P3,NaN
0.64071,0,-0.57661,O,351,P3,NaN
0.81377,0,0.36283,O,221,P3,NaN
0.45086,0,-0.49534,O,321,P3,NaN
0.32155,0,0.40728,O,335,P3,NaN
0.65495,0,-0.18743,O,261,P3,NaN
0.0873080000000001,0,-0.50719,O,315,P3,NaN
1.0103,0,-0.58014,O,307,P3,NaN
0.97152,0,-0.089228,O,153,P3,NaN
1.004,0,1.472,C80,55,P3,NaN
0.31524,0,1.2011,C80,202,P3,NaN
0.55217,0,0.86131,C80,181,P3,NaN
0.34616,0,0.70312,O,159,P3,NaN
0.70962,0,1.2993,O,152,P3,NaN
0.92482,0,1.0936,O,202,P3,NaN
0.93223,0,0.64362,O,342,P3,NaN
1.0245,0,1.2994,O,343,P3,NaN
0.22852,0,1.4947,O,42,P3,NaN
0.33957,0,0.9513,O,251,P3,NaN
0.4806,0,1.1465,O,117,P3,NaN
0.13081,0,0.65118,O,27,P3,NaN
-0.53327,0,1.371,C80,38,P2,NaN
-0.962590000000001,0,1.5855,C80,236,P2,NaN
-0.37603,0,0.98633,C80,336,P2,NaN
-0.823930000000001,0,1.3031,O,298,P2,NaN
-0.6353,0,1.7053,O,74,P2,NaN
-0.157230000000001,0,1.5733,O,161,P2,NaN
-0.52753,0,1.5232,O,351,P2,NaN
-0.93042,0,0.89987,O,12,P2,NaN
-0.54847,0,0.83598,O,247,P2,NaN
-0.96992,0,1.3848,O,169,P2,NaN
-0.71384,0,1.8699,O,21,P2,NaN
