X,Y,Z,Prefab,Rotation,Projector,Filler
-0.970000000000001,0,1.6466,C10,29,P3,NaN
-0.95499,0,1.3851,C10,26,P3,NaN
-0.50305,0,1.4735,C10,338,P3,NaN
-0.70079,0,1.3135,C10,277,P3,NaN
-0.12758,0,1.4081,C10,70,P3,NaN
-0.32199,0,1.3075,C10,172,P3,NaN
-0.19778,0,0.84266,O,146,P3,NaN
-0.59648,0,0.73336,O,63,P3,NaN
-0.863300000000001,0,0.898459999999999,O,32,P3,NaN
-0.842800000000001,0,1.2489,O,332,P3,NaN
-0.68656,0,1.6914,O,14,P3,NaN
-0.80256,0,1.5083,O,316,P3,NaN
-0.11499,0,0.22107,C10,223,P3,NaN
-0.48966,0,0.26187,C10,170,P3,NaN
-0.48919,0,-0.32696,C10,93,P3,NaN
-0.53652,0,0.0883609999999999,C10,23,P3,NaN
-0.1217,0,0.45063,C10,151,P3,NaN
-0.80821,0,0.0606880000000001,C10,236,P3,NaN
-0.63057,0,-0.22875,O,303,P3,NaN
-0.99702,0,-0.18591,O,353,P3,NaN
-0.8144,0,0.29699,O,278,P3,NaN
-0.18352,0,-0.31349,O,135,P3,NaN
-0.66198,0,0.31266,O,335,P3,NaN
-0.63507,0,-0.43387,O,91,P3,NaN
-0.24364,0,-1.4329,C10,141,P3,NaN
-0.99616,0,-1.373,C10,265,P3,NaN
-0.60218,0,-1.4132,C10,110,P3,NaN
-0.32876,0,-1.0152,C10,167,P3,NaN
-0.16888,0,-1.8436,C10,239,P3,NaN
-0.30417,0,-1.6355,C10,54,P3,NaN
-0.32413,0,-1.2603,O,42,P3,NaN
-0.14429,0,-1.0321,O,259,P3,NaN
-0.5712,0,-1.8564,O,176,P3,NaN
-0.47024,0,-1.1126,O,69,P3,NaN
-0.60145,0,-1.2539,O,49,P3,NaN
-0.83062,0,-1.1018,O,334,P3,NaN
0.3766,0,-0.83291,C10,123,P3,NaN
0.0778829999999999,0,-1.7795,C10,165,P3,NaN
0.40535,0,-1.6942,C10,165,P3,NaN
0.7541,0,-1.3995,C10,358,P3,NaN
0.67364,0,-1.8265,C10,100,P3,NaN
0.81618,0,-1.117,C10,307,P3,NaN
0.1677,0,-0.85683,O,142,P3,NaN
0.3443,0,-1.0215,O,49,P3,NaN
0.81023,0,-1.6205,O,31,P3,NaN
0.2984,0,-1.5721,O,85,P3,NaN
